Time-stamp,Watts,Wavelength
2021-07-05 09:38:44.541639,1.28550e-04,1.2
2021-07-05 09:38:44.759796,1.15523e-04,1.2
2021-07-05 09:38:44.976508,1.14902e-04,1.2
2021-07-05 09:38:45.195945,1.26158e-04,1.2
2021-07-05 09:38:45.412901,1.21017e-04,1.2
2021-07-05 09:38:45.632149,1.07724e-04,1.2
2021-07-05 09:38:45.849098,9.71773e-05,1.2
2021-07-05 09:38:46.064003,9.17711e-05,1.2
2021-07-05 09:38:46.279447,9.31005e-05,1.2
2021-07-05 09:38:46.499021,1.14282e-04,1.2
2021-07-05 09:38:46.730025,1.39806e-04,1.2
2021-07-05 09:38:46.949239,1.45301e-04,1.2
2021-07-05 09:38:47.164046,1.42908e-04,1.2
2021-07-05 09:38:47.382266,1.25626e-04,1.2
2021-07-05 09:38:47.599976,1.20929e-04,1.2
2021-07-05 09:38:47.818779,1.17916e-04,1.2
2021-07-05 09:38:48.036068,1.15789e-04,1.2
2021-07-05 09:38:48.253909,1.25626e-04,1.2
2021-07-05 09:38:48.471390,1.19511e-04,1.2
2021-07-05 09:38:48.690882,1.01874e-04,1.2
2021-07-05 09:38:48.908992,9.70886e-05,1.2
2021-07-05 09:38:49.124692,9.75318e-05,1.2
2021-07-05 09:38:49.343551,1.03647e-04,1.2
2021-07-05 09:38:49.562344,1.19688e-04,1.2
2021-07-05 09:38:49.777843,1.44680e-04,1.2
2021-07-05 09:38:49.980830,1.40604e-04,1.2
2021-07-05 09:38:50.184346,1.28816e-04,1.2
2021-07-05 09:38:50.386767,1.22524e-04,1.2
2021-07-05 09:38:50.590906,1.16143e-04,1.2
2021-07-05 09:38:50.795296,1.14193e-04,1.2
2021-07-05 09:38:51.015460,1.21638e-04,1.2
2021-07-05 09:38:51.232005,1.26069e-04,1.2
2021-07-05 09:38:51.451547,1.09496e-04,1.2
2021-07-05 09:38:51.658316,1.02229e-04,1.2
2021-07-05 09:44:24.293459,9.91270e-05,1.2
2021-07-05 09:44:24.515472,9.62024e-05,1.2
2021-07-05 09:44:24.727433,1.10382e-04,1.2
2021-07-05 09:44:24.928342,1.24917e-04,1.2
2021-07-05 09:44:25.133618,1.42287e-04,1.2
2021-07-05 09:44:25.390588,1.56201e-04,1.2
2021-07-05 09:44:25.601998,1.47162e-04,1.2
2021-07-05 09:44:25.878298,1.41401e-04,1.2
2021-07-05 09:44:26.091545,1.27044e-04,1.2
2021-07-05 09:44:26.355870,1.19422e-04,1.2
2021-07-05 09:44:26.627928,1.16320e-04,1.2
2021-07-05 09:44:26.831289,1.26778e-04,1.2
2021-07-05 09:44:27.038170,1.31209e-04,1.2
2021-07-05 09:44:27.253169,1.21726e-04,1.2
2021-07-05 09:44:27.463141,1.11269e-04,1.2
2021-07-05 09:44:27.729060,9.78863e-05,1.2
2021-07-05 09:44:27.943518,9.85066e-05,1.2
2021-07-05 09:44:28.216787,1.00634e-04,1.2
2021-07-05 09:44:28.426259,1.15611e-04,1.2
2021-07-05 09:44:28.697437,1.43174e-04,1.2
2021-07-05 09:44:28.919835,1.51947e-04,1.2
2021-07-05 09:44:29.123291,1.51770e-04,1.2
2021-07-05 09:44:29.383709,1.40338e-04,1.2
2021-07-05 09:44:29.597134,1.23676e-04,1.2
2021-07-05 09:44:29.852092,1.22701e-04,1.2
2021-07-05 09:44:39.095608,1.00368e-04,0.65
2021-07-05 09:44:39.360345,9.09242e-05,0.65
2021-07-05 09:44:39.571407,9.48377e-05,0.65
2021-07-05 09:44:39.842469,9.98818e-05,0.65
2021-07-05 09:44:40.059887,1.15275e-04,0.65
2021-07-05 09:44:40.337187,1.38495e-04,0.65
2021-07-05 09:44:40.552606,1.51888e-04,0.65
2021-07-05 09:44:40.832517,1.50497e-04,0.65
2021-07-05 09:44:41.049700,1.38756e-04,0.65
2021-07-05 09:44:41.265247,1.26320e-04,0.65
2021-07-05 09:44:41.475504,1.17623e-04,0.65
2021-07-05 09:44:41.731143,1.13884e-04,0.65
2021-07-05 09:44:42.006696,1.16840e-04,0.65
2021-07-05 09:44:42.286084,1.29016e-04,0.65
2021-07-05 09:44:42.488583,1.16058e-04,0.65
2021-07-05 09:44:42.746523,1.07622e-04,0.65
2021-07-05 09:44:43.022496,9.64031e-05,0.65
2021-07-05 09:44:43.307222,9.20547e-05,0.65
2021-07-05 09:44:43.585750,1.07448e-04,0.65
2021-07-05 09:44:43.863013,1.31799e-04,0.65
2021-07-05 09:44:44.072262,1.48149e-04,0.65
2021-07-05 09:44:44.342720,1.49540e-04,0.65
2021-07-05 09:44:44.622893,1.37191e-04,0.65
2021-07-05 09:44:44.851410,1.25450e-04,0.65
2021-07-05 09:44:45.135270,1.16145e-04,0.65
2021-07-05 09:44:45.426026,1.17710e-04,0.65
2021-07-05 09:44:45.634735,1.20580e-04,0.65
2021-07-05 09:44:45.905898,1.23189e-04,0.65
2021-07-05 09:44:46.116321,1.06839e-04,0.65
2021-07-05 09:44:46.390089,9.62292e-05,0.65
2021-07-05 09:44:46.604659,9.21417e-05,0.65
2021-07-05 09:44:46.887546,9.51856e-05,0.65
2021-07-05 09:45:09.830744,1.20131e-04,1.2
2021-07-05 09:45:10.053111,1.17029e-04,1.2
2021-07-05 09:45:10.318658,1.21017e-04,1.2
2021-07-05 09:45:10.602984,1.27044e-04,1.2
2021-07-05 09:45:10.882195,1.23144e-04,1.2
2021-07-05 09:45:11.098424,1.14636e-04,1.2
2021-07-05 09:45:11.373334,1.01520e-04,1.2
2021-07-05 09:45:11.592084,9.50503e-05,1.2
2021-07-05 09:45:11.862119,9.91270e-05,1.2
2021-07-05 09:45:12.140120,1.05508e-04,1.2
2021-07-05 09:45:12.416711,1.25183e-04,1.2
2021-07-05 09:45:12.706469,1.50086e-04,1.2
2021-07-05 09:45:12.904479,1.62582e-04,1.2
2021-07-05 09:45:13.121924,1.48580e-04,1.2
2021-07-05 09:45:13.398885,1.33248e-04,1.2
2021-07-05 09:45:13.630015,1.27221e-04,1.2
2021-07-05 09:45:13.906852,1.19156e-04,1.2
2021-07-05 09:45:14.106319,1.17295e-04,1.2
2021-07-05 09:45:14.320735,1.20397e-04,1.2
2021-07-05 09:45:14.680286,1.30146e-04,1.2
2021-07-05 09:45:14.899777,1.21815e-04,1.2
2021-07-05 09:45:15.145614,1.03115e-04,1.2
2021-07-05 09:45:15.428843,9.77090e-05,1.2
2021-07-05 09:45:15.640788,9.54048e-05,1.2
2021-07-05 09:45:15.855043,1.05154e-04,1.2
2021-07-05 09:45:16.125911,1.17916e-04,1.2
2021-07-05 09:45:16.342311,1.37679e-04,1.2
2021-07-05 09:45:16.626084,1.56379e-04,1.2
2021-07-05 09:45:16.828510,1.61076e-04,1.2
2021-07-05 09:45:17.034993,1.46719e-04,1.2
2021-07-05 09:45:17.239445,1.42996e-04,1.2
2021-07-05 09:45:17.440872,1.28285e-04,1.2
2021-07-05 09:45:17.646324,1.21549e-04,1.2
2021-07-05 09:45:17.856761,1.21992e-04,1.2
2021-07-05 09:45:18.075597,1.14459e-04,1.2
2021-07-05 09:45:18.286,1.14105e-04,1.2
2021-07-05 09:45:18.550429,1.33336e-04,1.2
2021-07-05 09:45:18.759898,1.30234e-04,1.2
2021-07-05 09:45:19.031563,1.07901e-04,1.2
2021-07-05 09:45:19.247404,9.96588e-05,1.2
2021-07-05 09:45:19.514390,9.63796e-05,1.2
2021-07-05 09:45:19.724143,9.72659e-05,1.2
2021-07-05 09:45:19.990431,1.02583e-04,1.2
2021-07-05 09:45:20.225802,1.31032e-04,1.2
2021-07-05 09:45:20.446754,1.49643e-04,1.2
2021-07-05 09:45:20.660218,1.63203e-04,1.2
2021-07-05 09:45:20.867181,1.54518e-04,1.2
2021-07-05 09:45:21.140791,1.38299e-04,1.2
2021-07-05 09:45:21.350009,1.29525e-04,1.2
2021-07-05 09:45:21.553755,1.22081e-04,1.2
2021-07-05 09:45:21.830544,1.19599e-04,1.2
2021-07-05 09:45:22.032508,1.13839e-04,1.2
2021-07-05 09:45:22.233969,1.23499e-04,1.2
2021-07-05 09:45:22.438742,1.29791e-04,1.2
2021-07-05 09:45:22.640759,1.24474e-04,1.2
2021-07-05 09:45:22.858213,1.09673e-04,1.2
2021-07-05 09:45:23.067159,1.04799e-04,1.2
2021-07-05 09:45:23.267584,9.42526e-05,1.2
2021-07-05 09:45:23.473501,9.81521e-05,1.2
2021-07-05 09:45:23.699762,9.48730e-05,1.2
2021-07-05 09:45:23.909202,1.02938e-04,1.2
2021-07-05 09:45:24.111663,1.17295e-04,1.2
2021-07-05 09:45:24.318110,1.40604e-04,1.2
2021-07-05 09:45:24.545746,1.57265e-04,1.2
2021-07-05 09:45:24.748631,1.54606e-04,1.2
2021-07-05 09:45:25.022431,1.33336e-04,1.2
2021-07-05 09:45:25.237888,1.29171e-04,1.2
2021-07-05 09:45:25.473413,1.21106e-04,1.2
2021-07-05 09:45:25.701042,1.18890e-04,1.2
2021-07-05 09:45:25.977653,1.21372e-04,1.2
2021-07-05 09:45:26.195600,1.31741e-04,1.2
2021-07-05 09:45:26.405330,1.28107e-04,1.2
2021-07-05 09:45:26.615610,1.14902e-04,1.2
2021-07-05 09:45:26.896847,1.02849e-04,1.2
2021-07-05 09:45:27.133215,9.54934e-05,1.2
2021-07-05 09:45:27.470465,1.05065e-04,1.2
2021-07-05 09:45:27.728184,1.28905e-04,1.2
2021-07-05 09:45:27.968273,1.45478e-04,1.2
2021-07-05 09:45:28.212993,1.54606e-04,1.2
2021-07-05 09:45:28.456180,1.50618e-04,1.2
2021-07-05 09:45:28.677867,1.40338e-04,1.2
2021-07-05 09:45:28.902241,1.26867e-04,1.2
2021-07-05 09:45:29.114465,1.22347e-04,1.2
2021-07-05 09:45:56.838840,1.47693e-04,3.4
2021-07-05 09:45:57.124298,1.28765e-04,3.4
2021-07-05 09:45:57.401094,1.21252e-04,3.4
2021-07-05 09:45:57.617519,1.20804e-04,3.4
2021-07-05 09:45:57.865629,1.22862e-04,3.4
2021-07-05 09:45:58.086083,1.31449e-04,3.4
2021-07-05 09:45:58.293401,1.30644e-04,3.4
2021-07-05 09:45:58.503957,1.09981e-04,3.4
2021-07-05 09:45:58.713423,1.03630e-04,3.4
2021-07-05 09:45:58.975741,9.78153e-05,3.4
2021-07-05 09:45:59.224148,1.04345e-04,3.4
2021-07-05 09:45:59.444705,1.12575e-04,3.4
2021-07-05 09:45:59.722009,1.46298e-04,3.4
2021-07-05 09:45:59.922022,1.55243e-04,3.4
2021-07-05 09:46:00.130746,1.56227e-04,3.4
2021-07-05 09:46:00.348155,1.41468e-04,3.4
2021-07-05 09:46:00.558512,1.35385e-04,3.4
2021-07-05 09:46:00.769208,1.22862e-04,3.4
2021-07-05 09:46:01.033670,1.19731e-04,3.4
2021-07-05 09:46:01.239172,1.27960e-04,3.4
2021-07-05 09:46:01.458559,1.35027e-04,3.4
2021-07-05 09:46:01.726877,1.20268e-04,3.4
2021-07-05 09:46:01.938500,1.06134e-04,3.4
2021-07-05 09:46:02.191621,1.02646e-04,3.4
2021-07-05 09:46:02.396865,1.02467e-04,3.4
2021-07-05 09:46:02.592001,1.06492e-04,3.4
2021-07-05 09:46:02.867029,1.23219e-04,3.4
2021-07-05 09:46:03.084439,1.51755e-04,3.4
2021-07-05 09:46:03.350615,1.60610e-04,3.4
2021-07-05 09:46:03.578169,1.48803e-04,3.4
2021-07-05 09:46:03.791590,1.40126e-04,3.4
2021-07-05 09:46:04.015418,1.31270e-04,3.4
2021-07-05 09:46:04.288431,1.21609e-04,3.4
2021-07-05 09:46:04.509098,1.18479e-04,3.4
2021-07-05 09:46:04.724255,1.25903e-04,3.4
2021-07-05 09:46:04.942271,1.26350e-04,3.4
2021-07-05 09:46:05.211954,1.27155e-04,3.4
2021-07-05 09:46:05.486155,1.12217e-04,3.4
2021-07-05 09:46:05.703531,9.71891e-05,3.4
2021-07-05 09:46:05.906328,1.03182e-04,3.4
2021-07-05 09:46:06.164322,9.80836e-05,3.4
2021-07-05 09:46:06.438785,1.18479e-04,3.4
2021-07-05 09:46:06.644397,1.38068e-04,3.4
2021-07-05 09:46:06.905444,1.57211e-04,3.4
2021-07-05 09:46:07.117170,1.52023e-04,3.4
2021-07-05 09:46:07.382807,1.42720e-04,3.4
2021-07-05 09:46:07.664267,1.33596e-04,3.4
2021-07-05 09:46:07.883146,1.21520e-04,3.4
2021-07-05 09:46:08.080241,1.17405e-04,3.4
2021-07-05 09:46:08.357500,1.22504e-04,3.4
2021-07-05 09:46:08.559455,1.25456e-04,3.4
2021-07-05 09:46:08.787275,1.34311e-04,3.4
2021-07-05 09:46:09.067587,1.23398e-04,3.4
2021-07-05 09:47:36.377918,1.35117e-04,3.4
2021-07-05 09:47:36.580294,1.58195e-04,3.4
2021-07-05 09:47:36.781868,1.64814e-04,3.4
2021-07-05 09:47:36.986344,1.52023e-04,3.4
2021-07-05 09:47:37.231181,1.49339e-04,3.4
2021-07-05 09:47:37.489496,1.30197e-04,3.4
2021-07-05 09:47:37.699881,1.24472e-04,3.4
2021-07-05 09:47:37.968198,1.22772e-04,3.4
2021-07-05 09:47:38.183602,1.24114e-04,3.4
2021-07-05 09:47:38.434063,1.32701e-04,3.4
2021-07-05 09:47:38.637583,1.25814e-04,3.4
2021-07-05 09:47:38.891923,1.14274e-04,3.4
2021-07-05 09:47:39.130287,1.02735e-04,3.4
2021-07-05 09:47:39.326761,1.00052e-04,3.4
2021-07-05 09:47:39.530985,1.03003e-04,3.4
2021-07-05 09:47:39.739465,1.11770e-04,3.4
2021-07-05 09:47:39.951310,1.30912e-04,3.4
2021-07-05 09:47:40.156769,1.53991e-04,3.4
2021-07-05 09:47:40.369223,1.61773e-04,3.4
2021-07-05 09:47:40.637888,1.64546e-04,3.4
2021-07-05 09:47:40.860866,1.47282e-04,3.4
2021-07-05 09:47:41.067672,1.42720e-04,3.4
2021-07-05 09:47:41.267912,1.33775e-04,3.4
2021-07-05 09:47:41.533793,1.24830e-04,3.4
2021-07-05 09:47:41.752867,1.21341e-04,3.4
2021-07-05 09:47:42.021716,1.23309e-04,3.4
2021-07-05 09:47:42.243693,1.34043e-04,3.4
2021-07-05 09:47:42.521478,1.31896e-04,3.4
2021-07-05 09:47:42.741920,1.12843e-04,3.4
2021-07-05 09:47:42.953969,1.06403e-04,3.4
2021-07-05 09:47:43.170867,9.88887e-05,3.4
2021-07-05 09:47:43.605014,1.02914e-04,3.4
2021-07-05 09:47:43.843833,1.16779e-04,3.4
2021-07-05 09:47:44.077019,1.39768e-04,3.4
2021-07-05 09:47:44.311052,1.56495e-04,3.4
2021-07-05 09:47:44.530998,1.66872e-04,3.4
2021-07-05 09:47:44.771497,1.57569e-04,3.4
2021-07-05 09:47:45.001683,1.39142e-04,3.4
2021-07-05 09:47:45.208683,1.29034e-04,3.4
2021-07-05 09:47:45.426120,1.26082e-04,3.4
2021-07-05 09:47:45.632203,1.23667e-04,3.4
2021-07-05 09:47:45.850464,1.20089e-04,3.4
2021-07-05 09:47:46.053376,1.27871e-04,3.4
2021-07-05 09:47:46.262979,1.31449e-04,3.4
2021-07-05 09:47:46.472987,1.29034e-04,3.4
2021-07-05 09:47:46.700572,1.19910e-04,3.4
2021-07-05 09:47:46.981992,1.00946e-04,3.4
2021-07-05 09:47:47.217730,9.87098e-05,3.4
2021-07-05 09:47:47.478781,9.78153e-05,3.4
2021-07-05 09:47:47.760204,1.16868e-04,3.4
2021-07-05 09:47:47.971083,1.36816e-04,3.4
2021-07-05 09:47:48.186323,1.53096e-04,3.4
2021-07-05 09:47:48.416529,1.63652e-04,3.4
2021-07-05 09:47:48.632534,1.63383e-04,3.4
2021-07-05 09:47:48.906804,1.48982e-04,3.4
2021-07-05 09:47:49.118562,1.39052e-04,3.4
2021-07-05 09:47:49.405257,1.26082e-04,3.4
2021-07-05 09:47:49.622845,1.21878e-04,3.4
2021-07-05 09:47:49.833162,1.20804e-04,3.4
2021-07-05 09:47:50.045844,1.24472e-04,3.4
2021-07-05 09:47:50.328743,1.32165e-04,3.4
2021-07-05 09:47:50.545495,1.28587e-04,3.4
2021-07-05 09:47:50.749486,1.15258e-04,3.4
2021-07-05 09:47:50.967896,1.05866e-04,3.4
2021-07-05 09:47:51.189863,1.03361e-04,3.4
2021-07-05 09:47:51.467406,1.02646e-04,3.4
2021-07-05 09:47:51.686801,1.06760e-04,3.4
2021-07-05 09:47:51.890494,1.15884e-04,3.4
2021-07-05 09:47:52.097143,1.36011e-04,3.4
2021-07-05 09:47:52.318924,1.50949e-04,3.4
2021-07-05 09:47:52.539503,1.69198e-04,3.4
2021-07-05 09:47:52.750654,1.57032e-04,3.4
2021-07-05 09:47:52.966943,1.51218e-04,3.4
2021-07-05 09:47:53.247765,1.32791e-04,3.4
2021-07-05 09:47:53.470534,1.24293e-04,3.4
2021-07-05 09:47:53.674146,1.15079e-04,3.4
2021-07-05 09:47:53.931602,1.19284e-04,3.4
2021-07-05 09:47:54.155269,1.24561e-04,3.4
2021-07-05 09:47:54.383337,1.29839e-04,3.4
2021-07-05 09:47:54.587461,1.41110e-04,3.4
2021-07-05 09:47:54.790563,1.27066e-04,3.4
2021-07-05 09:47:55.010545,1.15527e-04,3.4
2021-07-05 09:47:55.301450,1.04614e-04,3.4
2021-07-05 09:47:55.526630,1.02556e-04,3.4
2021-07-05 09:47:55.738698,1.05150e-04,3.4
2021-07-05 09:47:55.972452,1.12664e-04,3.4
2021-07-05 09:47:56.187903,1.29571e-04,3.4
2021-07-05 09:47:56.401568,1.47998e-04,3.4
2021-07-05 09:47:56.642962,1.66067e-04,3.4
2021-07-05 09:47:56.855272,1.63562e-04,3.4
2021-07-05 09:47:57.086075,1.51933e-04,3.4
2021-07-05 09:47:57.314927,1.40841e-04,3.4
2021-07-05 09:47:57.521325,1.33954e-04,3.4
2021-07-05 09:47:57.752435,1.23219e-04,3.4
2021-07-05 09:47:57.971068,1.20446e-04,3.4
2021-07-05 09:47:58.197666,1.23667e-04,3.4
2021-07-05 09:47:58.428821,1.26976e-04,3.4
2021-07-05 09:47:58.642019,1.34401e-04,3.4
2021-07-05 09:47:58.879830,1.25903e-04,3.4
2021-07-05 09:47:59.095544,1.13827e-04,3.4
2021-07-05 09:47:59.323473,1.10249e-04,3.4
2021-07-05 09:47:59.532946,9.70996e-05,3.4
2021-07-05 09:47:59.747353,1.03987e-04,3.4
2021-07-05 09:47:59.983593,1.04524e-04,3.4
2021-07-05 09:48:00.191670,1.13380e-04,3.4
2021-07-05 09:48:00.424500,1.32075e-04,3.4
2021-07-05 09:48:00.632498,1.49429e-04,3.4
2021-07-05 09:48:00.863748,1.66514e-04,3.4
2021-07-05 09:48:01.083193,1.56317e-04,3.4
2021-07-05 09:48:01.296582,1.49071e-04,3.4
2021-07-05 09:48:01.529875,1.38068e-04,3.4
2021-07-05 09:48:01.747161,1.26440e-04,3.4
2021-07-05 09:48:01.961101,1.22146e-04,3.4
2021-07-05 09:48:02.191845,1.20357e-04,3.4
2021-07-05 09:48:02.402915,1.24919e-04,3.4
2021-07-05 09:48:02.634171,1.35743e-04,3.4
2021-07-05 09:48:02.845323,1.37890e-04,3.4
2021-07-05 09:48:03.055985,1.27155e-04,3.4
2021-07-05 09:48:03.291769,1.11233e-04,3.4
2021-07-05 09:48:03.505867,1.11770e-04,3.4
2021-07-05 09:48:03.737814,1.03630e-04,3.4
2021-07-05 09:48:03.970919,9.79942e-05,3.4
2021-07-05 09:48:04.177940,9.90676e-05,3.4
2021-07-05 09:48:04.405896,1.10428e-04,3.4
2021-07-05 09:48:04.618300,1.21162e-04,3.4
2021-07-05 09:48:04.847341,1.52202e-04,3.4
2021-07-05 09:48:05.055217,1.64725e-04,3.4
2021-07-05 09:48:05.285760,1.65977e-04,3.4
2021-07-05 09:48:05.499634,1.57301e-04,3.4
2021-07-05 09:48:05.714709,1.50771e-04,3.4
2021-07-05 09:48:05.943767,1.36816e-04,3.4
